Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
,,1e8c48b7-aaab-4e12-8102-38e6c66675b3,158.264853,-94.752719,-90,top
C1,1uF,C_0402_1005Metric,159.554599,-95.825998,45,top
C2,0.1uF,C_0402_1005Metric,160.459395,-101.930171,-45,top
C3,0.1uF,C_0402_1005Metric,159.643685,-97.413516,0,top
C4,0.1uF,C_0402_1005Metric,155.299416,-91.853771,90,top
C5,0.1uF,C_0402_1005Metric,156.501295,-106.26085,0,top
C6,0.1uF,C_0402_1005Metric,158.624853,-94.644883,90,top
C7,0.1uF,C_0402_1005Metric,148.457296,-101.606045,-135,top
C8,0.1uF,C_0402_1005Metric,149.401833,-97.008501,180,top
C9,0.1uF,C_0402_1005Metric,156.369294,-91.208654,90,top
C10,1uF,C_0402_1005Metric,157.073754,-105.247425,0,top
C11,0.1uF,C_0402_1005Metric,154.115669,-93.175765,90,top
C12,0.1uF,C_0402_1005Metric,157.50552,-94.602004,90,top
C13,10uF,C_0603_1608Metric,151.604315,-83.343272,180,top
C14,10uF,C_0603_1608Metric,151.602279,-89.09439,180,top
C15,33pF,C_0402_1005Metric,150.336582,-107.948948,-90,top
C16,33pF,C_0402_1005Metric,156.999999,-107.728405,-90,top
C17,.1uF,C_0402_1005Metric,150.858667,-92.003421,180,top
D1,LED,LED_0402_1005Metric,157.006885,-114.343282,90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,154.5,-77,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,145.61,-75.87,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,163.39,-75.87,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,151.96,-123.89,90,top
R1,5.1K,R_0402_1005Metric,156.052446,-83.291422,90,top
R2,5.1K,R_0402_1005Metric,153.999655,-83.333103,-90,top
R3,27,R_0402_1005Metric,156.25,-94.374274,90,top
R4,27,R_0402_1005Metric,155.15,-94.374274,90,top
R5,1K,R_0402_1005Metric,153.966188,-105.495719,180,top
R6,10K,R_0402_1005Metric,148.913246,-91.987063,0,top
R7,1K,R_0402_1005Metric,158.937608,-88.910868,90,top
R9,220,R_0402_1005Metric,154.519199,-119.7876,-90,top
RV1,R_Potentiometer,Potentiometer_Bourns_3214J_Horizontal,153,-114,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,158.784407,-85.129605,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,154.5,-100,0,top
U2,MCP1700x-330xxTT,SOT-23,151.581925,-86.340614,90,top
U3,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,150.717839,-93.825582,0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,153,-107.911857,180,top
